ID Magasin,Nom Magasin,Statut,Boucherie,Boulangerie,Caviar,Charcuterie & Traiteur,Pizza,Petits Fours,Number & Letter Cakes,Pâtisserie,"Décoration, Vaisselle Jetable",Plateaux de sushis,Plateaux de fromages,Plateaux de fruits de mer,Rôtisserie,Plateaux de fruits et de légumes,Menus Traiteur,Buffets et Cocktails Dînatoires,Salades
954,Market Tarbes - Claverie,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
955,Market Taverny,Désactivé,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1
956,Market Tence,Activé,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1
957,Market Teteghem,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
958,Market Thonon Les Bains - Landaz,Activé,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
959,Market Toulon - Bourgeois,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
960,Market Toulouse - Hers Rougenet,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
961,Market Toulouse - Lombez (Mirail),Activé,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
962,Market Tourcoing,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
963,Market Tourgeville,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
964,Market Tournus - Résistance,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
965,Market Trith Saint Leger,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
966,Market Vatan,Activé,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
967,Market Vendin Lès Bethune,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
968,Market Vervins,Activé,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
969,Market Viarmes,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
970,Market Villefranche sur Saône,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
971,Market Vonnas,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
972,Market Vouziers,Activé,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
973,Market Wimille,Activé,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
974,Market Wingles Meurchin,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
975,Market Yutz,Activé,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
976,Market Yzeure,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
977,Market Beaurainville,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
978,Market Les Abrets,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
979,Market L'Arbresle,Activé,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0
980,Market Auneuil,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
981,Market Bar Sur Aube,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
982,Market Champagne sur Seine,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
983,Market Château Landon,Activé,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1
984,Market Montereau,Désactivé,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
985,Market Montmirail,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
